Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,492.263142830507
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,16871937697.5854
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,946.358500208374
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,11157540109.8939
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,66915.3963925722
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,315325547162.072
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,16206.8325493421
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,18201698719564
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12887.4357242941
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,318524633225.395
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6222.62164397614
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,1272238390.85864
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,1554.97289190153
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,59067289573.5102
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,595.743074403567
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,14825690210.9157
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,2516.16255145432
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,64960725734.1965
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,12838.1185358931
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,72794636653.7793
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,2455.98127641148
Croatia,HRV,GDP (current US$),NY.GDP.MKTP.CD,69002365163.3368
